ID,Idade,Genero,Estado_Civil,Rendimento_Anual,Numero_Polices,Valor_Total_Seguro,Score_Satisfacao,Tipo_Cliente
110,66,Feminino,Solteiro,72822.97,3,171917.19,86,Premium
111,46,Feminino,Casado,65952.46,2,385065.41,32,Economy
112,68,Masculino,Divorciado,69499.24,3,94826.45,56,Standard
113,39,Masculino,Divorciado,29952.67,1,484638.12,99,Economy
114,54,Masculino,Solteiro,55446.16,3,499140.16,48,Economy
115,23,Masculino,Casado,15897.48,6,285612.92,50,Economy
116,22,Masculino,Divorciado,97718.56,6,408393.79,84,Premium
117,47,Feminino,Divorciado,52244.06,1,244716.07,45,Economy
118,47,Masculino,Casado,43901.42,5,322810.62,36,Economy
119,28,Feminino,Divorciado,100624.54,6,564168.5,61,Standard
120,18,Feminino,Divorciado,84851.41,5,169523.74,66,Standard
121,65,Masculino,Casado,82664.34,3,342371.83,72,Premium
122,37,Feminino,Solteiro,77064.39,4,479567.83,39,Economy
123,66,Feminino,Casado,22901.91,3,144165.27,33,Economy
124,54,Feminino,Divorciado,54512.35,1,220876.58,72,Standard
125,37,Feminino,Solteiro,24018.98,6,137370.59,47,Economy
126,55,Feminino,Casado,47321.16,2,436374.3,88,Standard
127,39,Masculino,Divorciado,76971.01,6,589909.26,55,Standard
128,67,Masculino,Solteiro,61829.71,3,443520.95,46,Economy
129,27,Feminino,Casado,37634.51,3,255238.37,88,Standard
130,38,Masculino,Casado,90788.22,6,400654.91,94,Premium
131,32,Feminino,Divorciado,15442.79,3,22005.87,46,Economy
132,21,Masculino,Solteiro,74993.27,4,518400.51,90,Premium
133,36,Masculino,Solteiro,42795.53,4,72690.91,78,Standard
134,52,Feminino,Casado,85641.7,3,180987.19,50,Economy
135,43,Masculino,Divorciado,57384.36,3,400545.68,90,Standard
136,55,Masculino,Solteiro,23513.37,2,376266.97,95,Economy
137,35,Masculino,Solteiro,50665.93,4,302926.01,36,Economy
138,47,Masculino,Divorciado,76906.58,4,572574.58,32,Economy
139,43,Feminino,Divorciado,71540.41,3,464311.08,69,Standard
140,64,Feminino,Solteiro,114281.1,4,312845.17,45,Economy
141,26,Masculino,Divorciado,89228.18,4,145988.89,79,Standard
142,47,Masculino,Solteiro,67115.38,6,413866.32,46,Economy
143,19,Feminino,Divorciado,105893.54,4,549825.45,82,Affluent
144,67,Feminino,Casado,47872.88,6,524017.23,99,Standard
145,45,Masculino,Casado,57050.1,2,251302.16,93,Standard
146,45,Feminino,Solteiro,48146.04,3,405496.72,89,Standard
147,35,Feminino,Solteiro,55865.35,6,533808.92,77,Standard
148,60,Feminino,Solteiro,91289.19,5,55282.18,62,Standard
149,56,Feminino,Casado,57036.12,2,568021.23,66,Standard
150,54,Masculino,Solteiro,74059.06,6,108522.16,70,Standard
151,47,Feminino,Casado,48096.1,4,128682.31,93,Standard
152,36,Masculino,Divorciado,32049.68,3,222836.64,61,Standard
153,56,Masculino,Solteiro,54273.3,6,440101.4,79,Standard
154,24,Masculino,Solteiro,92362.0,3,519812.25,53,Standard
155,60,Feminino,Casado,31019.43,3,59905.16,50,Economy
156,53,Masculino,Solteiro,91253.77,6,288277.64,58,Standard
157,59,Feminino,Divorciado,76378.68,3,538226.01,82,Premium
158,38,Feminino,Casado,95643.8,2,159598.3,65,Standard
159,29,Feminino,Solteiro,82545.65,1,514340.51,46,Economy
160,44,Masculino,Divorciado,10000.0,4,281307.26,100,Economy
161,56,Masculino,Divorciado,56644.7,1,369611.03,72,Standard
162,44,Masculino,Solteiro,30668.19,3,386585.19,90,Standard
163,51,Masculino,Casado,55042.38,4,388408.43,66,Standard
164,68,Feminino,Divorciado,33149.13,2,522739.78,94,Standard
165,24,Feminino,Solteiro,43750.21,6,324258.2,98,Standard
166,56,Masculino,Solteiro,53073.2,4,533622.88,48,Economy
167,68,Masculino,Solteiro,43214.9,2,532288.1,41,Economy
168,21,Feminino,Divorciado,42288.09,6,534645.23,69,Standard
169,23,Masculino,Solteiro,69734.19,4,66933.26,80,Standard
170,47,Masculino,Solteiro,88642.95,6,137115.33,73,Standard
171,70,Feminino,Casado,99106.46,2,107259.89,50,Economy
172,28,Masculino,Solteiro,104287.32,4,473560.2,78,Premium
173,60,Masculino,Casado,91849.96,4,400328.93,92,Premium
174,43,Masculino,Solteiro,61677.3,6,297867.43,52,Standard
175,36,Feminino,Casado,50028.66,5,380509.73,52,Standard
176,62,Masculino,Divorciado,51145.78,3,188972.0,71,Standard
177,69,Feminino,Divorciado,95172.34,5,76780.79,89,Standard
178,22,Masculino,Casado,63809.85,3,357198.61,38,Economy
179,62,Masculino,Solteiro,31900.73,6,29075.1,67,Economy
180,49,Feminino,Casado,60006.29,2,89656.7,71,Standard
181,38,Masculino,Casado,45749.92,6,53682.73,67,Standard
182,56,Masculino,Solteiro,20535.8,3,504015.08,88,Economy
183,41,Masculino,Divorciado,46097.76,4,308330.37,53,Standard
184,63,Feminino,Casado,59475.93,4,209571.79,66,Standard
185,63,Masculino,Solteiro,99199.12,4,499721.67,71,Premium
186,47,Masculino,Solteiro,43017.53,5,185812.6,63,Standard
187,44,Masculino,Casado,37498.75,5,539203.53,96,Standard
188,48,Masculino,Solteiro,28358.89,1,583676.32,33,Economy
189,48,Masculino,Solteiro,95104.77,4,87219.9,79,Standard
190,37,Feminino,Solteiro,107890.85,3,571377.35,92,Affluent
191,40,Masculino,Casado,84884.17,4,275857.23,87,Premium
192,28,Feminino,Solteiro,51215.42,6,373526.83,49,Economy
193,37,Feminino,Divorciado,25525.66,3,204028.6,33,Economy
194,70,Masculino,Divorciado,72582.78,2,119778.11,84,Standard
195,67,Feminino,Solteiro,121102.37,4,599501.4,34,Economy
196,36,Masculino,Solteiro,38862.76,4,271691.01,81,Standard
197,64,Masculino,Solteiro,58567.64,6,332024.24,85,Standard
198,70,Feminino,Casado,39238.59,3,317102.54,81,Standard
199,60,Masculino,Casado,36135.0,4,50364.44,79,Standard
200,53,Feminino,Casado,19411.65,3,396400.33,71,Economy
201,26,Feminino,Divorciado,30678.92,6,523667.51,57,Standard
202,28,Masculino,Divorciado,21196.16,1,419266.11,48,Economy
203,26,Feminino,Casado,52640.09,6,246381.09,33,Economy
204,32,Masculino,Casado,62881.89,5,360816.8,34,Economy
205,65,Feminino,Casado,34422.08,5,578479.73,87,Standard
206,67,Feminino,Solteiro,37792.81,3,209240.69,59,Standard
207,28,Masculino,Divorciado,19118.35,6,500412.03,87,Economy
208,62,Masculino,Casado,50310.94,4,199429.56,100,Standard
209,19,Masculino,Divorciado,20538.76,6,58148.26,51,Economy
210,64,Feminino,Solteiro,85286.3,4,410127.93,67,Standard
211,48,Feminino,Casado,121492.38,2,163747.24,52,Standard
212,58,Masculino,Casado,128179.46,2,234202.47,60,Standard
213,31,Masculino,Casado,84371.58,1,317674.98,91,Premium
214,19,Masculino,Casado,105525.62,5,514918.22,98,Affluent
215,28,Masculino,Casado,12947.28,2,256334.72,94,Economy
216,38,Feminino,Solteiro,13494.27,3,216958.04,88,Economy
217,36,Feminino,Casado,10000.0,4,116808.47,54,Economy
218,34,Feminino,Divorciado,39256.79,4,592700.14,77,Standard
219,65,Masculino,Solteiro,10000.0,1,158448.76,80,Economy
220,21,Masculino,Divorciado,58941.09,3,459484.78,98,Standard
221,36,Masculino,Casado,12690.7,2,114272.54,71,Economy
222,50,Masculino,Casado,119301.71,4,401684.73,77,Premium
223,35,Masculino,Casado,83957.78,1,543964.57,42,Economy
224,64,Feminino,Divorciado,44261.44,1,553621.18,79,Standard
225,62,Masculino,Casado,69817.28,6,590407.33,58,Standard
226,60,Masculino,Divorciado,56209.17,4,105069.71,64,Standard
227,21,Feminino,Solteiro,131259.35,4,256900.47,99,Premium
228,29,Masculino,Solteiro,32772.35,4,401391.75,89,Standard
229,70,Masculino,Solteiro,67803.8,3,196198.79,31,Economy
230,61,Feminino,Casado,118539.9,1,216754.9,30,Economy
231,46,Masculino,Casado,77067.94,5,442087.12,100,Premium
232,43,Feminino,Divorciado,19302.87,2,90971.3,76,Economy
233,20,Feminino,Casado,47949.16,3,242293.69,40,Economy
234,54,Masculino,Solteiro,58586.43,2,463984.11,72,Standard
235,31,Feminino,Divorciado,91853.12,4,162762.65,95,Premium
236,58,Masculino,Casado,54826.51,6,379104.09,57,Standard
237,27,Feminino,Casado,126313.2,3,79858.42,70,Standard
238,58,Feminino,Divorciado,54362.66,4,105966.53,75,Standard
239,32,Feminino,Casado,51657.31,5,461415.01,100,Standard
240,22,Masculino,Casado,81662.56,5,248371.35,69,Standard
241,23,Feminino,Solteiro,52063.21,1,64184.18,78,Standard
242,38,Feminino,Divorciado,28689.25,4,122073.87,84,Economy
243,43,Feminino,Solteiro,67460.02,3,210205.26,71,Standard
244,26,Masculino,Solteiro,67793.8,6,399279.88,70,Standard
245,58,Masculino,Casado,53934.18,6,532599.07,56,Standard
246,22,Masculino,Casado,128642.67,6,104523.75,89,Standard
247,56,Masculino,Solteiro,29916.76,1,410728.63,54,Economy
248,33,Masculino,Casado,51225.6,5,201669.37,85,Standard
249,69,Feminino,Divorciado,10000.0,2,576872.47,42,Economy
250,27,Feminino,Solteiro,94055.93,4,303081.18,61,Standard
251,27,Feminino,Solteiro,40421.64,1,237515.56,39,Economy
252,60,Masculino,Divorciado,36920.83,1,119994.67,100,Standard
253,47,Masculino,Solteiro,56329.88,6,541359.45,94,Standard
254,33,Feminino,Solteiro,98855.78,2,152086.66,39,Economy
255,32,Masculino,Casado,69214.92,1,128560.05,86,Standard
256,65,Masculino,Divorciado,42922.19,3,439478.42,43,Economy
257,49,Masculino,Casado,77898.26,3,235192.27,79,Premium
258,56,Feminino,Solteiro,38853.62,4,82345.72,95,Standard
259,44,Feminino,Solteiro,60896.64,3,514549.75,44,Economy
260,59,Feminino,Divorciado,116501.3,6,512502.82,83,Affluent
261,68,Feminino,Casado,20837.8,4,364383.16,41,Economy
262,67,Masculino,Casado,61687.39,2,36989.77,81,Economy
263,41,Feminino,Casado,52941.03,5,332827.81,67,Standard
264,24,Masculino,Solteiro,53259.65,2,111980.85,83,Standard
265,41,Feminino,Divorciado,87494.11,4,459412.95,99,Premium
266,67,Feminino,Solteiro,14604.22,4,503981.63,56,Economy
267,41,Masculino,Divorciado,21581.83,2,554338.85,85,Economy
268,59,Masculino,Solteiro,21098.19,6,280003.89,95,Economy
269,65,Feminino,Solteiro,79200.18,4,292520.67,91,Premium
270,65,Feminino,Divorciado,96412.17,4,246203.24,77,Premium
271,28,Masculino,Casado,61675.56,3,363141.38,49,Economy
272,35,Masculino,Solteiro,113580.13,3,30583.15,51,Economy
273,44,Masculino,Casado,88810.22,5,328709.0,33,Economy
274,19,Masculino,Solteiro,29445.84,1,513584.76,64,Economy
275,55,Masculino,Divorciado,10000.0,4,485287.29,82,Economy
276,37,Masculino,Solteiro,70203.99,6,175384.11,54,Standard
277,60,Feminino,Divorciado,55714.97,4,378556.6,51,Standard
278,20,Masculino,Casado,77146.23,4,150495.25,38,Economy
279,24,Feminino,Solteiro,52546.49,2,564144.35,40,Economy
280,44,Feminino,Solteiro,69373.21,1,194591.84,32,Economy
281,43,Feminino,Casado,108177.42,4,195683.57,34,Economy
282,19,Feminino,Divorciado,56923.84,5,183342.89,39,Economy
283,50,Feminino,Divorciado,72591.56,2,318893.67,69,Standard
284,21,Masculino,Solteiro,75002.75,2,160627.81,71,Premium
285,22,Masculino,Solteiro,100150.49,1,413724.6,63,Standard
286,63,Masculino,Divorciado,69326.0,5,371149.39,83,Standard
287,30,Feminino,Casado,84911.74,5,361361.29,77,Premium
288,67,Masculino,Solteiro,93118.06,2,414263.23,36,Economy
289,34,Feminino,Casado,64700.18,3,358102.45,49,Economy
290,25,Feminino,Divorciado,68282.67,5,543203.09,30,Economy
291,67,Masculino,Solteiro,80583.17,6,146008.15,88,Standard
292,66,Masculino,Solteiro,74518.8,6,81379.07,85,Standard
293,31,Masculino,Casado,44042.52,3,521710.3,83,Standard
294,36,Masculino,Casado,107658.47,4,17920.7,45,Economy
295,69,Masculino,Divorciado,81214.56,6,29017.86,45,Economy
296,66,Masculino,Divorciado,100634.68,2,295818.8,33,Economy
297,66,Feminino,Solteiro,35458.11,2,354144.33,75,Standard
298,65,Masculino,Divorciado,91746.59,6,109242.88,51,Standard
299,39,Feminino,Solteiro,103564.17,6,207143.47,54,Standard
300,40,Masculino,Solteiro,62983.98,1,587127.26,40,Economy
